,score
months_employed,154.0
credit_score,152.0
age,134.0
interest_rate,134.0
credit_age_factor,134.0
dtiratio,132.0
interest_payment_burden,130.0
income_to_interest_ratio,126.0
credit_income_inter,104.0
income_to_loan_ratio,99.0
loan_pay_to_inc_ratio,97.0
loan_amount,85.0
empl_sta,84.0
credit_util_ratio,79.0
income,71.0
has_co_signer=No,39.0
employment_type=Full-time,25.0
loan_term,23.0
employment_type=Unemployed,18.0
has_dependents=No,18.0
marital_status=Married,18.0
has_mortgage=No,17.0
education=PhD,13.0
education=High School,11.0
loan_purpose=Home,11.0
marital_status=Single,10.0
loan_purpose=Business,10.0
education=Master's,10.0
employment_type_loan_purpose=Full-time_Home,10.0
employment_type_loan_purpose=Full-time_Business,10.0
marital_status_dependents=Married_Yes,10.0
marital_status_dependents=Single_No,10.0
marital_status_dependents=Divorced_No,9.0
education=Bachelor's,9.0
employment_type_loan_purpose=Self-employed_Home,8.0
loan_purpose=Auto,8.0
marital_status_dependents=Divorced_Yes,7.0
employment_type_loan_purpose=Full-time_Education,7.0
employment_type_loan_purpose=Part-time_Auto,7.0
loan_purpose=Education,6.0
employment_type_loan_purpose=Unemployed_Education,6.0
num_credit_lines,5.0
employment_type_loan_purpose=Part-time_Business,5.0
employment_type_loan_purpose=Unemployed_Business,5.0
marital_status_dependents=Single_Yes,4.0
employment_type=Self-employed,4.0
employment_type_loan_purpose=Full-time_Auto,4.0
employment_type_loan_purpose=Part-time_Home,4.0
employment_type_loan_purpose=Part-time_Other,4.0
employment_type_loan_purpose=Unemployed_Auto,4.0
employment_type_loan_purpose=Unemployed_Other,3.0
employment_type=Part-time,3.0
marital_status_dependents=Married_No,3.0
employment_type_loan_purpose=Full-time_Other,3.0
employment_type_loan_purpose=Part-time_Education,3.0
marital_status=Divorced,3.0
employment_type_loan_purpose=Self-employed_Other,3.0
employment_type_loan_purpose=Self-employed_Education,2.0
loan_purpose=Other,2.0
loan_id=OSO60AQ91S,1.0
loan_id=OCY74GD2FL,1.0
loan_id=ORT14K5T0G,1.0
loan_id=OR9BH97S8I,1.0
loan_id=OPNE5BCXQB,1.0
loan_id=OPIQM5HP0E,1.0
loan_id=OLXT97JXIQ,1.0
loan_id=OF7QQ22KEC,1.0
loan_id=OEA96HMMJN,1.0
loan_id=OE2MDBX7MU,1.0
loan_id=NJDC89I50T,1.0
loan_id=OB4ZKRDN2C,1.0
loan_id=OATYQ4TNJI,1.0
loan_id=O7LTTHNV7I,1.0
loan_id=O3UB8095YT,1.0
loan_id=NTYH7GYGA9,1.0
loan_id=NPS6NVS0KT,1.0
loan_id=NNWZ8DX3BH,1.0
loan_id=OZRSYS05B4,1.0
loan_id=NB9FEQMDHL,1.0
loan_id=N9JB5AU14Z,1.0
loan_id=OTNXJOZHO6,1.0
loan_id=PNV5P51078,1.0
loan_id=PA1V7B5QTZ,1.0
loan_id=PAWY43GK1V,1.0
loan_id=QV7O9AS2OO,1.0
loan_id=QSWOMOVTL1,1.0
loan_id=QO8BLW12M8,1.0
loan_id=QKX8EAK9XF,1.0
loan_id=QKPXAH6SF9,1.0
loan_id=QB74SOUUMG,1.0
loan_id=QAPK1PDDHS,1.0
loan_id=QAC58MGF2J,1.0
loan_id=Q7O56PFPJL,1.0
loan_id=Q0T61KOOFD,1.0
loan_id=PWUC2LJECU,1.0
loan_id=PTP5VEBWD8,1.0
loan_id=PSZ6EZZF32,1.0
loan_id=PS6X1LJXT9,1.0
loan_id=N0YPG925PH,1.0
loan_id=PN5U7P744G,1.0
loan_id=PE0RGP530L,1.0
loan_id=PB3KPNSDGL,1.0
loan_id=PB3HMCUFR6,1.0
loan_id=N6NOYKY94Z,1.0
loan_id=MFZGQPDIK7,1.0
loan_id=MWMKDN0RQL,1.0
loan_id=JSQ612M1KL,1.0
loan_id=KTREBSA206,1.0
loan_id=KNKGIES0K8,1.0
loan_id=KM463UGHQ9,1.0
loan_id=KLGO59VCV6,1.0
loan_id=KHN8XP5K3F,1.0
loan_id=KDQEDGD1HD,1.0
loan_id=K6U5E2SWPU,1.0
loan_id=K3EQW7OUF4,1.0
loan_id=K0R88TQOIO,1.0
loan_id=JS4Y81O7R0,1.0
loan_id=MVYO2MAYX6,1.0
loan_id=JQ5VE5WB9M,1.0
loan_id=JOZUTKA3NV,1.0
loan_id=JJ9X1K0MCH,1.0
loan_id=JI775LK6NF,1.0
loan_id=JDBKDWKULV,1.0
loan_id=JCP6KEG16G,1.0
loan_id=ITJOWJDACH,1.0
loan_id=IMQ77PKA4R,1.0
loan_id=IEI8GHJ6IS,1.0
loan_id=KZVHT7XH8A,1.0
loan_id=L71IA6K9AG,1.0
loan_id=L8YLQF5XFD,1.0
loan_id=LAEYSRKPY4,1.0
loan_id=MVSTH5RSE3,1.0
loan_id=MVM0WXJPPD,1.0
loan_id=MTGAIDT9AO,1.0
loan_id=MRTBWKJETQ,1.0
loan_id=MNSY1X6FFJ,1.0
loan_id=MKP27DX2MG,1.0
loan_id=QXM6S7S9WK,1.0
loan_id=ME8UG8A1U7,1.0
loan_id=MD1ZRBHKRS,1.0
loan_id=MB7UTC0F5H,1.0
loan_id=M98B70E67T,1.0
loan_id=M6DVAZZHY3,1.0
loan_id=M64D66Y15K,1.0
loan_id=M3EN4ETF5K,1.0
loan_id=M25WVULZWE,1.0
loan_id=M03TBE0YUC,1.0
loan_id=LZLIYJPK0E,1.0
loan_id=LIUYZFENY8,1.0
loan_id=LCXBP70FP2,1.0
loan_id=QVJ40RBN4X,1.0
loan_id=RML8ZY8WGG,1.0
loan_id=QYGGZ8LRQJ,1.0
loan_id=X2OTF3FJXI,1.0
